id,name,full_name,address,legal_address,email,phone,fax,site,director,director_id,director_post,organization_rights_form,priority,upstanding_organization_id,is_published,organization_category_id,sr_organization_category_id,slug,created_at,updated_at
37,ЖБИ-15,"ОАО ""Мосинжжелезобетон-ЖБИ-15""","109651, г. Москва, Иловайская ул., д. 10а","109651, г. Москва, ул. Иловайская, д. 6",info@gbi15.ru,"+7 (499) 356-18-11",,,"Татаринцев  Виктор Алексеевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mosinzhzhelezobeton_zhbi_15,"2002-04-06 16:32:16","2013-05-29 12:01:05"
38,Монолит_,"ОАО ""Монолит""","119034, г. Москва, Чистый пер., д. 5а, стр. 1","119034, г. Москва, Чистый пер., д. 5а, стр. 1",monolit_center@mtu-net.ru,"(495) 6374713, 6377115","(495)  6374298",,"Воробьев Виктор Якубович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,monolit,"2002-04-06 16:32:18","2013-07-02 17:29:46"
39,МТЗК_,"ОАО ""Московский трубозаготовительный комбинат""","125599, г. Москва, Ижорская ул., д. 6","125599, г. Москва, ул. Ижорская, д. 6",mtzk@mostzk.ru,"+7 (495) 486-03-08, +7 (495) 486-15-85","+7 (495) 486-07-88",http://www.mostzk.ru,"Свечкопалов Анатолий Петрович",NULL,"Генеральный директор",ОАО,0,NULL,0,19,NULL,mtzk,"2002-04-06 16:32:19","2013-07-02 12:20:52"
40,Моспромпроект,"ОАО  ""Институт по проектированию промышленных и транспортных объектов для городского хозяйства города Москвы"" (""Моспромпроект"")","Москва, 1-я Брестская, 27",,mospp@mospp.ru,"+7 (495) 609-20-48","+7 (495) 609-20-74",http://www.mospp.ru/,"Меркулова А. Д.",NULL,"Генеральный директор",NULL,1,279,1,33,NULL,mospromproekt,"2002-04-06 16:32:19","2014-12-04 12:41:58"
41,"Механический завод N 2","ОАО &quot;Механический завод N 2&quot;","117218, г. Москва, Кржижановского ул., д. 31","117218, г. Москва, ул. Кржижановского, д. 31",mexzavod2@stroi.ru,"(499) 1252455","(499) 1259605",http://www.mexzavod2.ru,"Галоян Гагик Оганесович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mehanicheskiy_zavod_2,"2002-04-06 16:32:22","2012-12-06 12:16:41"
42,Мосстрой-40,"ОАО &quot;Мосстрой-40&quot;","127473, г. Москва, Самотечная ул., д. 1/15","127473, г. Москва, ул. Самотечная, д. 1/15",,"(495) 6506447","(495) 6506447",,"Цепке Василий Матвеевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mosstroy_40,"2002-04-06 16:32:23","2012-12-06 12:14:10"
43,ЖБИ-21,"ОАО &quot;Завод железобетонных изделий № 21&quot;","111524, г. Москва, Электродная ул., д. 8","111141, г. Москва, ул. Электродная, д. 8",La_jbi21@mail.ru,"(495) 3063997, 3063502","(495) 3063502",,"Шепелев Георгий Алексеевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,zhbi_21,"2002-04-06 16:32:23","2012-12-06 12:17:09"
44,Моспромстройматериалы,"ОАО &quot;Моспромстройматериалы&quot;","119992, г. Москва, Пречистенская наб., д. 45/1","119820, г. Москва, Пречистенская наб., д. 45/1",info@mpsm.ru,"(499) 7660319, 7660253, (495) 4249920","(495) 4249919",http://mpsm.ru,"Григорьев Игорь Геннадиевич",NULL,"Управляющий директор",ОАО,0,NULL,0,33,NULL,mospromstroymateriali,"2002-04-06 16:32:24","2012-12-06 12:14:28"
45,Строитель-110,"ОАО &quot;Строитель-110&quot;","129110, г. Москва, Гиляровского ул., д. 56","129110, г. Москва, ул. Гиляровского, д. 56",,"(495) 6815190, 6813087","(495) 6815190",,"Дендиев Руслан Мухадинович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,stroitel_110,"2002-04-06 16:32:24","2012-12-06 12:09:31"
46,Мостермостекло,"ОАО &quot;Мостермостекло&quot;","143985, Московская обл., г. Железнодорожный, Автозаводская ул., д. 48а","143980, Московская обл., г. Железнодорожный, ул. Автозаводская, д. 48а",mostermo@mostermo.com,"(495) 9807771","(495) 9807772, 7776628",http://www.mostermo.com,"Варзарь Владимир Борисович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mostermosteklo,"2002-04-06 16:32:25","2012-12-06 12:13:10"
48,"АК Мослифтмонтаж","ОАО ""Акционерная компания ""Мослифтмонтаж""","109052, г. Москва, Рязанский пр-т, д. 2, стр. 27","125009, г. Москва, ул. Б. Никитская, д. 21/18",,"+7 (495)  980-99-90","+7 (495) 981-19-70",http://www.liftservice.ru/,"Снятков Андрей Юрьевич",NULL,"Генеральный директор",ОАО,1,NULL,1,33,NULL,ak_mosliftmontazh,"2002-04-06 16:32:27","2013-04-26 15:30:18"
49,"Перовский комбинат строительных материалов","ОАО &quot;Перовский комбинат строительных материалов&quot;","111141, г. Москва, Плеханова ул., д. 9","111524, г. Москва, ул. Плеханова, д. 9",oaopksm@mail.ru,"(495) 6727308, 6727313","(495) 6727318",,"Щепкин А.В.",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,perovskiy_kombinat_stroitelnih_materialov,"2002-04-06 16:32:28","2012-12-06 12:11:33"
50,"Тучковский комбинат строительных материалов","ОАО &quot;Тучковский комбинат строительных материалов&quot;","143130, Московская обл., Рузский р-н, ст. Тучково, Кирова ул., д. 2","143130, Московская обл., пос. Тучково, ул. Кирова, д. 2",,"(495) 9927177, 7806422, 2732034","(495) 9927177",,"Бекренев Сергей Васильевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,tuchkovskiy_kombinat_stroitelnih_materialov,"2002-04-06 16:32:28","2012-12-06 12:08:31"
51,ЖБИ-6,"ОАО &quot;Завод железобетонных изделий-6&quot;","109052, г. Москва, Новохохловская ул., д. 89","109052, г. Москва, ул. Новохохловская, д. 89",sales@gbi6.lsrgroup.ru,"(495) 9830060, 9888845","(495) 9830060, 9888845",http://www.gbi6.ru,"Сидоров Александр Геннадьевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,zhbi_6,"2002-04-06 16:32:29","2012-12-06 12:17:18"
52,"Московский камнеобрабатывающий комбинат","ОАО &quot;Московский камнеобрабатывающий комбинат&quot;","141700, Московская обл., г. Долгопрудный, Заводская ул., д. 2","141702, Московская обл., г. Долгопрудный, ул. Заводская, д. 2","ao.mkk@relcom.ru, oaomkk@mail.ru","(495) 4086402, 5765222","(495) 4085616, 4085477",http://www.oaomkk.ru,"Гаттенбергер Степан Юрьевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,moskovskiy_kamneobrabativayushchiy_kombinat,"2002-04-06 16:32:29","2012-12-06 12:15:07"
53,"Мосотделстрой № 1","Государственное унитарное предприятие города Москвы ""Трест ""Мосотделстрой № 1""","107023, г. Москва, Буженинова ул., д. 13",,,"+7 (495) 963-65-57",,http://mosotdel1.ru/,,NULL,,NULL,1,279,1,33,NULL,mosotdelstroy_1,"2002-04-06 16:32:32","2014-12-04 12:32:53"
54,"Префектура ЗАО","Префектура Западного административного округа города Москвы","121355, г. Москва, Ивана Франко ул., д. 12","121355, г. Москва, Ивана Франко ул., д. 12",,"+7 (495) 443-43-35",,http://www.zao.mos.ru/,"Александров Алексей Олегович",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_zao,"2002-04-06 16:32:32","2013-05-29 10:33:00"
55,МАЗД,"ОАО &quot;МАЗД&quot;","123290, г. Москва, ул. 1-я Магистральная, д. 8","123290, г. Москва, ул. 1-я Магистральная, д. 8",mazd@front.ru,"(495) 9400690, 9401760, (499) 2595683","(495) 9400690",,"Коркушко Владимир Степанович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mazd,"2002-04-06 16:32:33","2012-12-06 12:20:23"
56,МЗЖБИиТ,"ОАО &quot;Московский завод железобетонных изделий и труб&quot;","121087, г. Москва, Береговой пр-д, д. 2","121871, г. Москва, Г87 ГСП5  Береговой проезд, д. 2",info@filibeton.ru,"(499) 1482612","(499) 1482612",http://www.filibeton.ru,"Иншаков Владимир Иванович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,mzzhbiit,"2002-04-06 16:32:36","2012-12-06 12:16:33"
57,"ИВЦ Мосстрой","ОАО &quot;Информационно-вычислительный центр &quot;Мосстрой&quot;","112165, г. Москва, Киевская ул., д. 20а","121165, г. Москва, Киевская ул., д. 20А",ivc@micc.ru,"(499) 2490187, 2492147, (495) 4652255","(499) 2490187, (495) 4652255",http://www.micc.ru,"Шадрин Сергей Иннокентьевич",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,ivts_mosstroy,"2002-04-06 16:32:36","2012-05-22 10:21:24"
58,"АТИ ЮАО","Административно-техническая инспекция по Южному административному округу","115280, г. Москва, ул. Автозаводская, д. 1/10","109280, г. Москва, ул. Автозаводская, д. 1/10",,"+7 (495) 675-03-35",,,"Ильин Андрей Анатольевич",NULL,"Начальник инспекции",NULL,0,NULL,1,19,NULL,ati_yuao,"2002-04-06 16:32:37","2013-04-04 13:29:18"
59,"АТИ СЗАО","Административно-техническая инспекция по Северо-Западному административному округу","125373, Москва, Светлогорский пр., д. 5",,,"+7 (495) 948-99-99",,,"Косарева Ирина Александровна",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_szao,"2002-04-06 16:32:37","2013-04-04 13:29:10"
60,"АТИ ЗАО","Административно-техническая инспекция Западного административного округа","119454, г. Москва, пр-т Вернадского, д. 50а","119454, г. Москва, пр-т Вернадского, д. 50а",,"+7 (499) 432-99-63",,,"Захаров Дмитрий Владимирович",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_zao,"2002-04-06 16:32:37","2013-04-04 13:29:03"
61,"АТИ ВАО","Административно-техническая инспекция Восточного административного округа","111123, г. Москва, ул. 1-я Владимирская, д. 4",,,"+7 (495) 368-21-37",,,"Шутина Галина Александровна",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_vao,"2002-04-06 16:32:39","2013-04-04 13:29:36"
62,НИИМосстрой,"Государственное унитарное предприятие города Москвы ""Научно-исследовательский институт московского строительства ""НИИМосстрой""","119192, г. Москва,  Винницкая ул., д. 8","119192,  г. Москва, Винницкая ул., д. 8",info-nii@niimosstroy.ru,"+7 (499) 739-30-04","+7 (499) 739-30-86",http://www.niimosstroy.ru,"Малютин Сергей Викторович",NULL,Директор,ГУП,0,NULL,1,33,NULL,niimosstroy,"2002-04-06 16:32:39","2014-07-14 13:32:16"
63,ЦНКБ,"ФГУП ""Центральное научно-конструкторское бюро""","109240, г. Москва, ул. Гончарная, д. 20","109240, г. Москва, ул. Гончарная, д. 20",,"+7 (495) 915-50-64, +7 (495) 915-52-84","+7 (495) 915-53-48",http://www.chat.ru/~cnkb/index.htm,"Чесноков Владимир Владимирович",NULL,Директор,NULL,0,NULL,1,19,NULL,tsnkb,"2002-04-06 16:32:40","2013-04-04 13:29:52"
64,"АТИ ЮЗАО","Административно-техническая инспекция по Юго-Западному административному округу","117218, г. Москва, ул. Профсоюзная, д. 9","117261, г. Москва, ул. Профсоюзная, д. 9",,"+7 (499) 129-19-44",,,"Титов Вячеслав Викторович",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_yuzao,"2002-04-06 16:32:43","2013-04-04 13:30:02"
65,"АТИ САО","Административно-техническая инспекция Северного административного округа","125445, ул. Беломорская, д. 12, корп. 1","127434, г. Москва, Дмитровское шоссе, д. 25",,"+7 (495) 457-53-08",,,"Вольнов Вадим Викторович",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_sao,"2002-04-06 16:32:46","2013-04-04 13:30:09"
66,"АТИ по ЦАО","Административно-техническая инспекция по Центральному административному округу","109147, г. Москва, ул. Таганская, д. 32/1, стр. 9","109147, г. Москва, ул. Таганская, д. 32/1, стр. 9",,"+7 (495) 912-91-31",,,"Тутынин Максим Юрьевич",NULL,Начальник,NULL,0,NULL,1,19,NULL,ati_po_tsao,"2002-04-06 16:32:48","2013-04-04 13:30:17"
67,"АТИ СВАО","Административно-техническая инспекция по Северо-Восточному административному округу","129327, г. Москва, ул. Чичерина, д. 12/2","129327, г. Москва, ул. Чичерина, д. 12/2",,"+7 (499) 186-23-85, +7 (495) 471-36-33 (зам. нач.)",,,"Бородулин Леонид Геннадьевич",NULL,"и.о. начальника",NULL,0,NULL,1,19,NULL,ati_svao,"2002-04-06 16:32:50","2013-04-04 13:45:54"
68,"Департамент земельных ресурсов города Москвы","Департамент земельных ресурсов города Москвы (ДЗР)","115054, Москва, ул. Бахрушина, д. 20","115054, г. Москва, ул. Бахрушина, д. 20",dzr@mos.ru,"+7 (495) 959-19-55, +7 (495) 959-09-62","+7 (495) 959-19-82",http://dzr.mos.ru,"Ефимов Владимир Владимирович",NULL,"Министр Правительства Москвы, Руководитель Департамента",NULL,0,NULL,0,33,NULL,departament_zemelnih_resursov_goroda_moskvi,"2002-04-06 16:32:52","2013-05-29 14:56:05"
69,"УРЗ ЦАО","Управление регулирования землепользования  ЦАО","115054, г. Москва, ул. Бахрушина, д. 20","113054, г. Москва, ул. Бахрушина, д. 20",,"+7 (495) 959-51-59",,,"Игнатов Антон Сергеевич",NULL,"Начальник управления",ГП,0,NULL,0,19,NULL,urz_tsao,"2002-04-06 16:32:54","2013-05-29 15:06:09"
70,ЖБИ-9,"ОАО &quot;Кунцевский комбинат железобетонных изделий N 9&quot; (ЖБИ-9)","121351, г. Москва, Молодогвардейская ул., д. 54","121351, г. Москва  ул. Молодогвардейская, д. 54",1412400@rambler.ru,"(499) 1412437, 6174115","(495) 4171424",,"Бондаренко Олег Владимирович",NULL,"Генеральный директор",ОАО,0,NULL,0,33,NULL,zhbi_9,"2002-04-06 16:32:54","2012-12-06 12:17:41"
71,"УРЗ СВАО","Управление регулирования землепользования  в СВАО",,"127254, г. Москва, ул. Руставели, д. 12/7, корп. Б",,"+7 (499) 619-46-83",,,"Демонова Людмила Викторовна",NULL,"И. о. начальника управления",ГП,0,NULL,0,19,NULL,urz_svao,"2002-04-06 16:32:56","2013-05-29 15:06:06"
72,"УРЗ ВАО","Управление регулирования землепользования  в ВАО",,"105023, г. Москва, ул. Буженинова, д. 12",,"+7 (495) 964-93-60",,,"Ермилова Ирина Сергеевна",NULL,"Начальник управления",NULL,0,NULL,0,19,NULL,urz_vao,"2002-04-06 16:32:57","2013-05-29 15:06:04"
73,"УРЗ ЮВАО","Управление регулирования землепользования  в ЮВАО",,"110024, г. Москва, ул. Авиамоторная, д. 12",,"+7 (495) 361-32-01",,,"Левакова Светлана Ивановна",NULL,"И.о. начальника управления",ГП,0,NULL,0,19,NULL,urz_yuvao,"2002-04-06 16:32:58","2013-05-29 15:06:03"
74,"УРЗ ЮЗАО","Управление регулирования землепользования  в ЮЗАО","117393, г. Москва, ул. Профсоюзная, д. 60","117393, г. Москва, ул. Профсоюзная, д. 60",,"+7 (495) 331-02-22",,,"Панин Владимир Эдуардович",NULL,Начальник,ГП,0,NULL,0,19,NULL,urz_yuzao,"2002-04-06 16:33:01","2013-05-29 15:06:01"
75,РГГУ,"Российский государственный гуманитарный университет","125993, г. Москва, ГСП-3, Миусская пл., д. 6","125267, г. Москва, Миусская пл., д. 6",rsuh@rsuh.ru,"+7 (499) 250-61-18,  +7 (499) 250-51-09","+7 (495) 250-61-18",http://www.rsuh.ru/,"Пивовар Ефим Иосифович",NULL,Руководитель,ГУП,0,NULL,1,19,NULL,rggu,"2002-04-06 16:33:02","2013-04-04 13:47:25"
76,"УРЗ ЗАО","Управление регулирования землепользования  в ЗАО","121108, г. Москва, ул. Ивана Франко, д. 8, корп. 2","121355, г. Москва, ул. Ивана Франко, д. 8, корп. 2",,"+7 (495) 440-76-10","+7 (495) 440-76-10",,"Воронков Игорь Владимирович",NULL,"И.о. начальника управления",ГП,0,NULL,0,19,NULL,urz_zao,"2002-04-06 16:33:02","2013-05-29 15:06:00"
77,"УРЗ СЗАО","Управление регулирования землепользования  в СЗАО",,"123585, г. Москва, ул. Народного Ополчения, д. 33, корп. 2",,"+7 (499) 192-52-10",,,"Легехов Игорь Евгеньевич",NULL,"Начальник управления",ГП,0,NULL,0,19,NULL,urz_szao,"2002-04-06 16:33:03","2013-05-29 15:05:58"
78,"УРЗ САО","Управление регулирования землепользования  в САО","125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 31, корп. 3","125130, г. Москва, ул. Зои и Александра Космодемьянских, д. 31, корп. 3",,"+7 (499) 156-08-00",,,"Коор Юлия Аугустовна",NULL,"Начальник управления",ГП,0,NULL,0,19,NULL,urz_sao,"2002-04-06 16:33:05","2013-05-29 15:05:57"
79,"УРЗ ЗелАО","Управление регулирования землепользования  в ЗелАО",,"124482, г. Зеленоград, Центральный пр-т, д. 1",,"+7 (499) 735-25-11",,,"Минаев Вадим Валерьевич",NULL,"Начальник управления",ГП,0,NULL,0,19,NULL,urz_zelao,"2002-04-06 16:33:07","2013-05-29 15:05:50"
80,"Префектура ЦАО","Префектура Центрального административного округа города Москвы","109147, Москва , ул. Марксистская, д.24","109147, г. Москва, Марксистская ул., д. 24, стр. 1",prefcao@cao.mos.ru,"+7 (495) 777-28-00",,http://www.cao.mos.ru,"Фуер Виктор Семёнович",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_tsao,"2002-04-06 16:33:08","2013-05-29 10:45:49"
81,"Префектура САО","Префектура Северного административного округа города Москвы","127422, г. Москва, Тимирязевская ул., д. 27","127422, г. Москва, Тимирязевская ул., д. 27",sao@nao.mos.ru,"+7 (495) 777-28-01","+7 (495) 611-05-46",http://sao.mos.ru,"Базанчук Владислав Игоревич",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_sao,"2002-04-06 16:33:09","2013-05-29 10:42:00"
82,"Префектура СВАО","Префектура Северо-Восточного административного округа","129090, г. Москва, Мира пр-т, д. 18","129090, г. Москва, Мира пр-т, д. 18",postmaster@svao.mos.ru,"+7 (495) 681-43-85, +7 (495) 777-28-02","+7 (495) 681-22-44",http://www.svao.mos.ru,"Виноградов Валерий Юрьевич",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_svao,"2002-04-06 16:33:10","2013-05-29 10:36:18"
83,"Префектура ВАО","Префектура Восточного административного округа города Москвы","107076, г. Москва, Преображенская пл., д. 9","107076, г. Москва, Преображенская пл., д. 9",,"+7 (495) 777-28-03, +7 (499) 161-12-03","+7 (499) 780-20-48",http://vao.mos.ru,"Тимофеев Всеволод Александрович",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_vao,"2002-04-06 16:33:12","2013-05-29 11:06:02"
84,"Префектура ЮАО","Префектура Южного административного округа города Москвы","115280, г. Москва, Автозаводская ул., д. 10","115280, г. Москва, Автозаводская ул., д. 10",pref@uao.mos.ru,"+7 (495) 777-28-05","+7 (495) 751-68-58",http://www.uao.mos.ru,,NULL,Префект,"Челышев Алексей Валентинович",0,NULL,1,33,NULL,prefektura_yuao,"2002-04-06 16:33:14","2013-11-11 09:43:42"
85,"Префектура ЮЗАО","Префектура Юго-Западного административного округа города Москвы","117209, г. Москва, Севастопольский пр-т, д. 28, кор. 4","117209, г. Москва, Севастопольский пр-т, д. 28, кор. 4",,"+7 (495) 777-28-06, +7 (499) 128-88-33 (с 17.00 до 8.00)",,http://uzao.mos.ru/,"Волков Олег Александрович",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_yuzao,"2002-04-06 16:33:16","2013-05-29 10:54:20"
86,"Префектура СЗАО","Префектура Северо-Западного административного округа города Москвы","125362, г. Москва, Свободы ул., д. 13/2","125362, г. Москва, Свободы ул., д. 13/2",szao@szao.mos.ru,"+7 (495) 777-28-08",,http://www.szao.mos.ru/index,"Пашков Алексей Анатольевич",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_szao,"2002-04-06 16:33:17","2015-04-08 10:19:19"
87,"Префектура Зеленоградского АО","Префектура Зеленоградского административного округа города Москвы","124482, г. Москва, Зеленоград, Центральный пр-т,  д. 1","124482, г. Москва, Зеленоград, Центральный пр-т, д. 1",,"+7 (495) 957-98-51, +7 (499) 735-62-20","+7 (495) 957-98-68",http://www.zelao.ru/,"Смирнов Анатолий Николаевич",NULL,Префект,NULL,0,NULL,1,33,NULL,prefektura_zelenogradskogo_ao,"2002-04-06 16:33:18","2013-05-29 10:34:00"
88,"ТОТУ Росэпиднадзора  САО г. Москвы","Территориальный отдел территориального управления Роспотребнадзора  в Северном административном округе г. Москвы","125212, г. Москва, ул. Адмирала Макарова, д. 10","125212, г. Москва, ул. Адмирала Макарова, д. 10",,"+7 (495) 452-38-18","+7 (495) 452-38-18",,"Берглезова Лариса Николаевна",NULL,"Начальник территориального отдела",NULL,0,NULL,1,19,NULL,totu_rosepidnadzora_sao_moskvi,"2002-04-06 16:33:23","2013-04-04 13:17:58"
89,"ЦГСЭН СВАО г. Москвы","ФГУЗ Центр гигиены и эпидемиологии в Северо-Восточном административном округе г. Москвы","129327, г. Москва, ул. Летчика Бабушкина, д. 19/1","129327, г. Москва, ул. Летчика Бабушкина, д. 19/1",,"+7 (495) 471-21-44","+7 (495) 471-04-90",,"Пугина Алла Георгиевна",NULL,Начальник,NULL,0,NULL,1,19,NULL,tsgsen_svao_moskvi,"2002-04-06 16:33:25","2013-04-04 13:17:36"
90,Мосстройресурс,"Государственное унитарное предприятие города Москвы ""Управление координации ресурсного обеспечения городских строительных программ"" (""Мосстройресурс"")","121069, г. Москва, Новинский б-р., д. 18, стр.  1",,office@gupmsr.ru,"+7 (495) 796-93-40, +7 (495) 380-08-08","+7 (495) 380-20-95",http://www.gupmsr.ru,,NULL,,ГУП,0,NULL,1,19,NULL,mosstroyresurs,"2002-04-06 16:33:25","2013-06-20 11:21:31"
91,"ТОТУ Роспотребнадзора ЮВАО г. Москвы","Территориальный отдел территориального управления Роспотребнадзора в Юго-Восточном административном округе г. Москвы","109125, г. Москва, пр-т Волгоградский, д. 113, корп. 5","109117, г. Москва, пр-т Волгоградский, д. 113, к. 5",,"+7 (495) 919-36-91","+7 (495) 919-36-91",,"Комаров Григорий Дмитриевич",NULL,"Начальник ТОТУ Роспотребнадзора по г. Москве в ЮВАО",NULL,0,NULL,1,19,NULL,totu_rospotrebnadzora_yuvao_moskvi,"2002-04-06 16:33:27","2013-04-04 13:17:21"
92,"ТОТУ Россанэпиднадзора ЮАО  г. Москвы","Территориальный отдел территориального управления Россанэпиднадзора в Южном административном округе г. Москвы","115682, г.Москва, Ореховый бульвар, 26, корп. 2","115201, г. Москва, проезд Каширский, д. 7",,"+7 (495) 105-00-71, +7 (495) 343-77-97, +7 (495) 343-77-97","+7 (495) 343-77-97",,"Пантелеев Герман Юрьевич",NULL,"Начальник отдела",NULL,0,NULL,1,19,NULL,totu_rossanepidnadzora_yuao_moskvi,"2002-04-06 16:33:28","2013-04-04 13:17:10"
